Gasification temperature [°C],Steam ratio,FT temperature [°C],GHSV [cm<sup>3</sup>/h/g<sub>cat</sub>],H<sub>2</sub>/CO ratio
897.0496881,0.84683661,241.4349405,1587.045941,2.011518474
821.278375,0.150076139,235.9251047,1189.621573,1.666518543
895.7811387,1.331893764,200.3811841,1014.479557,2.488855093
771.8997445,0.389063233,204.842487,1008.765491,1.649569749
838.8834992,0.499919366,232.8880131,1128.83238,1.914628902
866.9177247,0.727320413,229.3616199,1675.496392,1.993042401
858.2530277,0.860516478,223.004644,1046.752924,2.201548208
856.7324863,1.006004159,200.7139822,1029.444457,2.280006228
884.8647032,0.84377919,223.8599687,2086.804217,2.076201089
716.0056808,0.407240703,240.0724282,1138.809982,1.963437393
821.6835748,0.597036936,200.7789912,1593.965507,1.83443702
806.7881962,0.597021109,226.1586507,1193.10932,1.902068231
885.339041,1.15561311,234.3856438,2340.154905,2.446493643
880.6393236,1.154404338,223.4402023,2312.822202,2.437434352
827.5668285,0.662977704,228.3881396,1812.991518,1.873003353
756.6746934,0.41231235,244.0062126,1058.813215,2.149386236
725.968198,0.373095552,228.3620608,1493.795813,1.998877172
860.6657996,1.019606647,214.6662453,1815.319185,2.393547227
705.6649122,0.38827343,205.3666066,1782.623622,1.786219993
822.7816521,0.105381016,249.5570677,1111.763613,2.128164017
840.3294875,0.200292561,246.1868057,1750.627098,2.042636169
861.6921838,1.014244571,229.8801772,2018.313337,2.363185892
866.032542,0.814717174,224.2675302,2133.925992,2.185588364
818.9608688,0.587798515,249.2790856,1947.665045,1.879453019
775.8297356,0.574921839,246.0030069,1275.696151,2.144017529
753.6878764,0.429321158,244.2159216,1987.117672,1.81812813
822.50505,0.14320249,249.4086923,1506.593954,2.183415483
743.3828616,0.460806745,208.8244548,1007.468926,2.273264298
795.8540673,0.691653118,243.3636231,1845.100362,2.130028476
875.8107849,0.971524312,227.9074341,2785.901141,2.216448644
827.3663157,0.867417916,201.3893687,1869.730762,2.427123685
713.1820929,0.515732534,223.4586828,1768.432022,2.10003541
715.1859261,0.495660436,238.9426632,1968.049823,2.029939942
897.0536874,1.11094568,208.5323241,3154.155852,2.360754446
899.978349,0.091589159,246.853875,1004.571548,2.305284154
848.4478144,0.112270449,239.0791354,2078.807952,2.186275213
732.0165821,0.49355884,206.9996384,1803.070787,2.280917262
802.0776752,0.835487814,203.91681,1239.633248,2.49517889
767.8395421,0.659408397,245.1680434,1246.668318,2.411689599
700.6156724,0.508172335,217.58407,1620.689669,2.349908999
821.035328,0.123971984,225.1771037,1406.434312,2.454288714
708.5908838,0.543902264,200.028908,1427.813432,2.458213841
798.1693031,0.886086929,246.496035,2112.535205,2.46200664
750.0344383,0.736218646,241.5740701,1781.421821,2.378420746
701.6949935,0.474739468,231.8140358,2365.992947,2.061110397
809.9865373,0.785864294,232.8600976,2573.823538,2.19732267
842.7935749,0.937271245,225.5965088,2918.27916,2.224420612
898.3066754,1.068774229,215.8495451,3571.268624,2.41707973
858.5518808,0.952262548,233.0584063,3167.878298,2.499962682
898.350627,0.049603105,248.7027396,1861.81967,2.451206691
880.1871109,0.012810753,237.9043314,1230.523189,2.498956727
751.3749964,0.596045373,206.9466018,2381.940722,2.423129588
899.3250617,0.053768043,248.9344191,1919.098592,2.472908962
758.0722656,0.683322604,211.8962303,2404.084257,2.460596433
780.778745,0.768852577,239.5502686,2547.063878,2.471203914
714.3598363,0.424403377,245.1263933,2888.103076,2.039885933
742.7110386,0.623111856,204.3961878,2828.041829,2.225609981
753.8024813,0.751593952,207.1940792,2700.403835,2.43743964
703.9796852,0.558761947,244.9040883,2692.429561,2.388905502
713.7859176,0.53710315,204.0618724,2812.320808,2.350811966
812.8533596,0.900043194,204.6712323,3237.706602,2.456819348
765.8420763,0.603001436,219.2815894,2988.122538,2.434876892
806.5383585,0.980451051,231.479398,3282.962309,2.49352937
846.8930248,0.984586968,222.7967915,3744.623529,2.430122334
828.7018668,0.841730338,243.6456647,3669.209104,2.268964989
727.3255587,0.654234681,238.5339295,3000.39663,2.486915641
845.7063387,1.00069081,212.9680489,3878.365271,2.320756168
824.0411262,0.880073096,236.2371842,3711.234009,2.367828518
816.888546,0.67317475,200.0550964,3647.151251,2.499475136
730.3789322,0.438387397,200.5206198,3554.551814,2.205955708
884.551715,1.072862057,241.7134226,4516.421158,2.403779858
820.9504423,0.865994049,223.5610801,3853.663372,2.340110378
825.8976702,0.998730485,217.2242145,3879.844379,2.483137175
752.9183033,0.534569456,223.0372751,3592.794867,2.349807925
848.0225087,0.959886144,206.999954,4180.371652,2.259792053
835.2156081,0.982961568,205.0137891,4052.064764,2.419525856
801.2780317,0.715545986,214.1234778,3812.978072,2.48128948
745.3465089,0.421314582,224.8535705,3917.327889,2.445822605
807.9824628,0.622848592,225.1907502,4024.065685,2.132454459
877.6985261,1.048345413,236.3226094,4733.760607,2.486344591
814.113486,0.728663237,209.0376511,4125.342153,2.306441965
811.1490346,0.666926229,215.4067129,4131.209928,2.444181528
730.603158,0.462737231,207.9660011,3958.571081,2.349635563
802.0083256,0.702119755,229.3213621,4210.676445,2.039697211
877.0697586,1.07724752,203.5843658,5079.639854,2.482323906
742.1229666,0.518781197,228.3240243,4120.279074,2.383098817
825.9556894,0.914890993,246.1285299,4400.364975,2.386392805
865.8620296,0.853035913,205.7861048,4938.644867,2.061734493
804.2389136,0.81355061,249.9828713,4303.177765,2.250273755
864.4185715,0.882854493,203.1694286,5039.612395,2.446162849
734.8597318,0.463139467,248.4229342,4398.437696,2.179026562
712.2530354,0.470156395,249.7221207,4380.869754,2.4998703
732.2168212,0.604106822,226.4405666,4360.819941,2.497458166
789.3128303,0.714443488,226.1785696,4647.278238,2.206039756
825.6954753,0.837594506,217.4191773,4950.340691,2.327882061
764.6110788,0.514049333,227.7857407,5016.888653,2.188726204
815.7244073,0.693127187,211.1318024,5123.97175,2.154731895
827.055261,1.051836345,203.6197372,5217.36815,2.493352921
862.4008362,0.955483145,228.3376051,5845.127564,2.495347148
753.8760308,0.551535952,210.7781363,5201.061134,1.944657088
749.0056939,0.504234261,232.1086658,5483.903696,2.205980695
805.9093786,0.744670628,215.0621425,5274.004094,2.086900299
811.8427007,0.765636366,224.1547384,5354.559281,2.198072288
793.9439888,0.643880804,224.6448663,5415.576159,2.177734423
803.0496983,0.639122092,231.1120766,5605.850127,2.211846911
799.939375,0.748823954,201.779606,5637.313362,2.31124377
800.4881855,0.773649155,213.2998015,5972.585228,2.318963603
758.5241372,0.666795775,246.8006149,5824.434713,2.399893945
